"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","amend","eff","LCL","UCL","treat","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"quadratic","R","TP1",0.13454297103486212,36,0.9115197149115791,1.4623460471754817,1,1.2331156866583588,0.22552416894925123,"RW",0.20731525694913192,-0.13365423478578609,0.5482847486840496,NA,"Shannon","RW",0.226,", p > 0.1",1.23,40,"t = 1.23, df = 40, p > 0.1","0.207 [-0.134 to 0.548]"
"linear","P","TP1",0.06702053173318127,35.99999999999993,0.8690708466947721,1.1417631068375476,1,-0.05764614546965224,0.9543492793600143,"RW",-0.0055954766500385614,-0.20245430448864338,0.19126335118856624,NA,"Shannon","RW",0.954,", p > 0.1",-0.0576,40,"t = -0.0576, df = 40, p > 0.1","-0.0056 [-0.202 to 0.191]"
"quadratic","P","TP1",0.14588385104590043,35.99999999999993,0.9883534256212192,1.5856099451559722,1,1.9275660843076847,0.06182793496587102,"RW",0.3240684247052278,-0.01690106702969022,0.6650379164401455,NA,"Shannon","RW",0.0618,", p = 0.0618.",1.93,40,"t = 1.93, df = 40, p = 0.0618.","0.324 [-0.0169 to 0.665]"
"linear","L","TP2",0.06699755458364623,36,0.8687728966444721,1.1413716676627013,1,-0.06274262709615748,0.9503185292146195,"RW",-0.006090171372575972,-0.20294899921118062,0.19076865646602864,NA,"Shannon","RW",0.95,", p > 0.1",-0.0627,40,"t = -0.0627, df = 40, p > 0.1","-0.00609 [-0.203 to 0.191]"
"quadratic","L","TP2",0.10971400319757288,35.99999999999993,0.7433051028027804,1.1924802734896975,1,-0.5175022377200863,0.6079711442573763,"RW",-0.08700409097497325,-0.4279735827098911,0.25396540075994467,NA,"Shannon","RW",0.608,", p > 0.1",-0.518,40,"t = -0.518, df = 40, p > 0.1","-0.087 [-0.428 to 0.254]"
"linear","R","TP2",0.06456116856184621,36,0.8371797115699235,1.0998653471103574,1,-0.6133142538394181,0.5435244055237863,"RW",-0.05953191767697569,-0.2563907455155803,0.13732691016162918,NA,"Shannon","RW",0.544,", p > 0.1",-0.613,40,"t = -0.613, df = 40, p > 0.1","-0.0595 [-0.256 to 0.137]"
"quadratic","R","TP2",0.11545423298248783,36,0.7821947792892382,1.2548707668115249,1,-0.07988607517720883,0.9367703071474562,"RW",-0.013430696228430385,-0.35440018796334827,0.3275387955064875,NA,"Shannon","RW",0.937,", p > 0.1",-0.0799,40,"t = -0.0799, df = 40, p > 0.1","-0.0134 [-0.354 to 0.328]"
"linear","P","TP2",0.07082512038451176,36,0.9184058339745005,1.2065781545019836,1,0.7630127310434972,0.45042707639837676,"RW",0.07406253940228631,-0.12279628843631821,0.2709213672408912,NA,"Shannon","RW",0.45,", p > 0.1",0.763,40,"t = 0.763, df = 40, p > 0.1","0.0741 [-0.123 to 0.271]"
"quadratic","P","TP2",0.13004250261626368,35.99999999999993,0.8810293395442444,1.4134305062761345,1,0.9411641915620349,0.3528937049291717,"RW",0.1582314606132031,-0.18273803112171463,0.49920095234812106,NA,"Shannon","RW",0.353,", p > 0.1",0.941,40,"t = 0.941, df = 40, p > 0.1","0.158 [-0.183 to 0.499]"
"L / R",NA,"TP1",0.05614037687752165,36.00000000000008,0.7078826746948059,0.9835689574421782,1,-2.6905409945972734,0.028294607613785216,"RW",-0.2611598605351029,-0.49841782873482277,-0.023901892335382625,"SL-0","Shannon","RW",0.0283,", p = 0.0283*",-2.69,40,"t = -2.69, df = 40, p = 0.0283*","-0.261 [-0.498 to -0.0239]"
"L / P",NA,"TP1",0.05929793377477361,36,0.7476967968337448,1.0388887667884892,1,-1.8772475214517534,0.15991060599829388,"RW",-0.18221677420142443,-0.4194747424011461,0.05504119399829741,"SL-0","Shannon","RW",0.16,", p > 0.1",-1.88,40,"t = -1.88, df = 40, p > 0.1","-0.182 [-0.419 to 0.055]"
"R / P",NA,"TP1",0.07106512305734529,36,0.8960711022139799,1.245047733621466,1,0.8132934731455203,0.6973155973708502,"RW",0.07894308633367833,-0.15831488186604334,0.3162010545333999,"SL-0","Shannon","RW",0.697,", p > 0.1",0.813,40,"t = 0.813, df = 40, p > 0.1","0.0789 [-0.158 to 0.316]"
"L / R",NA,"TP1",0.07290365172360903,36,0.919253393857963,1.2772584137786316,1,1.1929260102663357,0.4649994832504668,"RW",0.11579247114072877,-0.12146549705899286,0.3530504393404508,"SL-1","Shannon","RW",0.465,", p > 0.1",1.19,40,"t = 1.19, df = 40, p > 0.1","0.116 [-0.121 to 0.353]"
"L / P",NA,"TP1",0.07930952836762728,36,1.0000260809103767,1.389488180707449,1,2.4446847366052613,0.04995661312192967,"RW",0.23729559450912216,3.762630940026915e-5,0.4745535627088438,"SL-1","Shannon","RW",0.05,", p = 0.05*",2.44,40,"t = 2.44, df = 40, p = 0.05*","0.237 [3.76e-05 to 0.475]"
"R / P",NA,"TP1",0.0731927997809762,36,0.9228993063298089,1.2823242339449534,1,1.2517587263389252,0.43123824978798664,"RW",0.121503123368393,-0.11575484483132861,0.35876109156811486,"SL-1","Shannon","RW",0.431,", p > 0.1",1.25,40,"t = 1.25, df = 40, p > 0.1","0.122 [-0.116 to 0.359]"
"L / R",NA,"TP1",0.06611720269364142,36.00000000000008,0.8336820108675349,1.1583610894570981,1,-0.2593383876747205,0.9636407495813951,"RW",-0.025172921465434223,-0.2624308896651542,0.21208504673428594,"SL-2","Shannon","RW",0.964,", p > 0.1",-0.259,40,"t = -0.259, df = 40, p > 0.1","-0.0252 [-0.262 to 0.212]"
"L / P",NA,"TP1",0.06832131203564445,36,0.8614739656622236,1.1969766750334498,1,0.22806221979256816,0.9717567199433722,"RW",0.022137071181577928,-0.2151208970181439,0.25939503938129954,"SL-2","Shannon","RW",0.972,", p > 0.1",0.228,40,"t = 0.228, df = 40, p > 0.1","0.0221 [-0.215 to 0.259]"
"R / P",NA,"TP1",0.06952388016879442,36,0.8766373328133584,1.2180454449769786,1,0.4874006074672887,0.8777170994623353,"RW",0.04730999264701199,-0.18994797555270962,0.2845679608467338,"SL-2","Shannon","RW",0.878,", p > 0.1",0.487,40,"t = 0.487, df = 40, p > 0.1","0.0473 [-0.19 to 0.285]"
"L / R",NA,"TP2",0.06852005635916167,36.00000000000008,0.8639799635043603,1.2004586386031948,1,0.27123553020362323,0.9603011872995919,"RW",0.026327728654714715,-0.21093023954500553,0.2635856968544347,"SL-0","Shannon","RW",0.96,", p > 0.1",0.271,40,"t = 0.271, df = 40, p > 0.1","0.0263 [-0.211 to 0.264]"
"L / P",NA,"TP2",0.07060544964131762,36,0.8902750091821559,1.2369943408992796,1,0.7168419738462801,0.7551882568190383,"RW",0.06958093197291143,-0.16767703622681038,0.306838900172633,"SL-0","Shannon","RW",0.755,", p > 0.1",0.717,40,"t = 0.717, df = 40, p > 0.1","0.0696 [-0.168 to 0.307]"
"R / P",NA,"TP2",0.06932865695676521,36,0.8741757332092939,1.2146251706253655,1,0.445606443642657,0.8966449301176107,"RW",0.04325320331819682,-0.19400476488152477,0.28051117151791843,"SL-0","Shannon","RW",0.897,", p > 0.1",0.446,40,"t = 0.446, df = 40, p > 0.1","0.0433 [-0.194 to 0.281]"
"L / R",NA,"TP2",0.0716036886022499,36,0.9028619582721292,1.2544833017629433,1,0.9255080574440447,0.6279382593396012,"RW",0.08983529918018583,-0.14742266901953605,0.3270932673799075,"SL-1","Shannon","RW",0.628,", p > 0.1",0.926,40,"t = 0.926, df = 40, p > 0.1","0.0898 [-0.147 to 0.327]"
"L / P",NA,"TP2",0.07476281866617,36,0.9426959167123328,1.309830672696577,1,1.5672064781823067,0.27269382913915485,"RW",0.15212235237956828,-0.08513561582015332,0.38938032057929023,"SL-1","Shannon","RW",0.273,", p > 0.1",1.57,40,"t = 1.57, df = 40, p > 0.1","0.152 [-0.0851 to 0.389]"
"R / P",NA,"TP2",0.07024938827873228,36,0.8857853765198695,1.2307562120753937,1,0.6416984207382616,0.7981948804979757,"RW",0.06228705319938251,-0.1749709150003392,0.2995450213991044,"SL-1","Shannon","RW",0.798,", p > 0.1",0.642,40,"t = 0.642, df = 40, p > 0.1","0.0623 [-0.175 to 0.3]"
"L / R",NA,"TP2",0.0711058414563829,36,0.8965845267904288,1.2457611123965588,1,0.8218071569468836,0.6921055153365347,"RW",0.07976947495911413,-0.1574884932406076,0.317027443158836,"SL-2","Shannon","RW",0.692,", p > 0.1",0.822,40,"t = 0.822, df = 40, p > 0.1","0.0798 [-0.157 to 0.317]"
"L / P",NA,"TP2",0.06678975539421063,36,0.842162331646121,1.1701440876362343,1,-0.10891338429337431,0.9934827582076562,"RW",-0.01057177880195096,-0.24782974700167265,0.22668618939777066,"SL-2","Shannon","RW",0.993,", p > 0.1",-0.109,40,"t = -0.109, df = 40, p > 0.1","-0.0106 [-0.248 to 0.227]"
"R / P",NA,"TP2",0.06319705612432594,36,0.7968614321867457,1.1072006648837835,1,-0.9307205412402582,0.6246947874613857,"RW",-0.0903412537610653,-0.32759922196078695,0.14691671443865645,"SL-2","Shannon","RW",0.625,", p > 0.1",-0.931,40,"t = -0.931, df = 40, p > 0.1","-0.0903 [-0.328 to 0.147]"
"TP2 / TP1","L",NA,0.08496255040615479,18.000000000000007,1.0963439780765263,1.4545333882392566,1,3.4680393879473645,0.0027446855205043095,"RW",0.3366284642030313,0.13270051509307934,0.5405564133129835,"SL-0","Shannon","RW",0.00274,", p = 0.00274**",3.47,20,"t = 3.47, df = 20, p = 0.00274**","0.337 [0.133 to 0.541]"
"TP2 / TP1","L",NA,0.07323856964105065,17.999999999999964,0.9450594927419633,1.2538223527960046,1,1.2610501699417362,0.22339102123298926,"RW",0.12240500597131677,-0.08152294313863567,0.326332955081269,"SL-1","Shannon","RW",0.223,", p > 0.1",1.26,20,"t = 1.26, df = 20, p > 0.1","0.122 [-0.0815 to 0.326]"
