"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend","asymp.LCL","asymp.UCL","z.ratio","emmean.bt","LCL.bt","UCL.bt"
"1","lettuce",3.10629048498608,0.321596882312634,17,2.42778037290026,3.78480059707191,9.65895708518208,2.56848794530228e-08,"shoot_root_ratio","BS",NA,NA,NA,22.3380272717537,11.3336975579775,44.0268905925045
"2","lettuce",3.29808753107215,0.321596882312634,17,2.61957741898633,3.97659764315797,10.2553467165331,1.06854635763369e-08,"shoot_root_ratio","BS",NA,NA,NA,27.0608363923222,13.7299203553355,53.3352595863716
"0","radish",1.82528889166057,0.321596882312634,17,1.14677877957475,2.50379900374639,5.67570456073685,2.73560566835631e-05,"shoot_root_ratio","BS",NA,NA,NA,6.20458721372068,3.14803604171999,12.2288633238242
"1","radish",1.79769839888912,0.321596882312634,17,1.1191882868033,2.47620851097495,5.58991239579719,3.25271982199538e-05,"shoot_root_ratio","BS",NA,NA,NA,6.03573960040566,3.06236743010008,11.8960749666524
"2","radish",1.57419669058255,0.321596882312634,17,0.895686578496725,2.25270680266837,4.89493766003684,0.000136597432619516,"shoot_root_ratio","BS",NA,NA,NA,4.82686259611122,2.4490166545465,9.51345205369861
"0","pea",3.4091323793618,0.321596882312634,17,2.73062226727598,4.08764249144762,10.6006387712667,6.54114545651657e-09,"shoot_root_ratio","BS",NA,NA,NA,30.2389968968837,15.3424311429357,59.599220280729
"1","pea",3.38605389922702,0.321596882312634,17,2.7075437871412,4.06456401131284,10.5288766323777,7.23634361326031e-09,"shoot_root_ratio","BS",NA,NA,NA,29.5491181044887,14.9924057136734,58.239511218449
"2","pea",2.54159176706874,0.393874132267923,17,1.7105899871043,3.37259354703319,6.45280194572384,5.95670174591919e-06,"shoot_root_ratio","BS",NA,NA,NA,12.6998701254374,5.53222445605891,29.1540414681358
"0","lettuce",4.60517018598809,0.103998225996762,18,4.38667802084553,4.82366235113066,44.2812378946873,7.9403608282215e-20,"germination_perc","RW",NA,NA,NA,100,80.3729776528202,124.419926846509
"1","lettuce",4.4133821376869,0.103998225996762,18,4.19488997254434,4.63187430282947,42.4370905886827,1.69580797353289e-19,"germination_perc","RW",NA,NA,NA,82.5481812223657,66.3464312466615,102.706386689991
"2","lettuce",4.57616639365821,0.103998225996762,18,4.35767422851565,4.79465855880078,44.002350518947,8.88792786721251e-20,"germination_perc","RW",NA,NA,NA,97.1412780541908,78.0753377021587,120.863107092788
"0","radish",4.57097465639639,0.103998225996762,18,4.35248249125382,4.78946682153896,43.9524291168071,9.0697783534514e-20,"germination_perc","RW",NA,NA,NA,96.6382529781546,77.671041470208,120.237243661164
"1","radish",4.38172601839017,0.103998225996762,18,4.1632338532476,4.60021818353273,42.1326996339973,1.92804639025122e-19,"germination_perc","RW",NA,NA,NA,79.9759543117466,64.2790558866098,99.5060238494727
"2","radish",4.5529522493063,0.103998225996762,18,4.33446008416373,4.77144441444887,43.779133784917,9.7321249422671e-20,"germination_perc","RW",NA,NA,NA,94.9121995802933,76.2837609584692,118.089689286214
"0","pea",4.47733681447821,0.103998225996762,18,4.25884464933564,4.69582897962077,43.0520498937894,1.31205168800058e-19,"germination_perc","RW",NA,NA,NA,88,70.7282203344817,109.489535624928
"1","pea",4.11585740260129,0.103998225996762,18,3.89736523745872,4.33434956774386,39.5762270284247,5.88135945416983e-19,"germination_perc","RW",NA,NA,NA,61.3047545914842,49.2724567079298,76.2753308161566
"2","pea",4.46183014259991,0.103998225996762,18,4.24333797745734,4.68032230774248,42.9029447361805,1.39580086364883e-19,"germination_perc","RW",NA,NA,NA,86.6459385010673,69.6399207885392,107.804813298499
"0","lettuce",3.70248678562069,0.332678787690052,18,3.00355458824199,4.40141898299939,11.1293142894046,1.67996771939731e-09,"germination_perc","BS",NA,NA,NA,40.5480133038226,20.1570597784108,81.5665281028703
"1","lettuce",4.37412112580144,0.332678787690052,18,3.67518892842274,5.07305332318014,13.148181632418,1.14357815581089e-10,"germination_perc","BS",NA,NA,NA,79.3700525984101,39.4561105338034,159.661080736209
